epoch,acc,loss
0,0.4084558916031657,2.266328871834512
1,0.6488357973193714,1.3004412247443242
2,0.7297794238490728,0.9559694539776127
3,0.7719975599799963,0.7922609285762483
4,0.7996936375457867,0.7068284178710789
5,0.8121323625913218,0.6338980854312004
6,0.8237745191162342,0.5947026749408727
7,0.8323529499729037,0.550387096510117
8,0.8408088320044472,0.5265079348977381
9,0.8505514786012617,0.4988067888048938
10,0.8544117726759949,0.47876333521975645
11,0.8563112825082213,0.45706342005531253
12,0.8615196154580689,0.4442449931393461
13,0.8702205954868273,0.4254033970282049
14,0.8749387324468105,0.40427303159869515
15,0.8740808892237278,0.4040873004213448
16,0.8768382421649042,0.39240205225832697
17,0.8813112811504991,0.37774247105441344
18,0.884987751583514,0.3671051655228796
19,0.8882965748928779,0.3568646619147535
20,0.8892769670141313,0.3532865072139947
21,0.890747555138945,0.3468848183522502
22,0.8929534375064951,0.33880477811937776
23,0.8944853001374605,0.3311368365169644
24,0.8990196135105091,0.3247348993812849
25,0.8987745155772084,0.3169278352158871
26,0.9001838292826113,0.3124915941853969
27,0.897977946942453,0.31462278524363413
28,0.9035539269748637,0.30273251184481603
29,0.9067402014682325,0.29422170703855954
30,0.9063112799343014,0.29381046109393294
31,0.9059436328654342,0.28963868151613864
32,0.9086397110950202,0.28193114883830345
33,0.9102941227930725,0.27561043244181144
34,0.9106004953694841,0.27422400441980477
35,0.9127451030026171,0.27409730442690206
36,0.9132965735899394,0.2656293415460725
37,0.9117034364847795,0.26594087964660534
38,0.9123774560570133,0.2644111586458564
39,0.9169117695304985,0.2553263253143572
40,0.9161764753562417,0.2518551748469885
41,0.917647063595188,0.25250494436294185
42,0.9199754948198211,0.2501249893341431
43,0.919485298715824,0.25185848352991896
44,0.9189951027487862,0.24613497626077172
45,0.9207720634180541,0.2376113794504584
46,0.9240196122258317,0.23759063696774316
47,0.9231617691990572,0.2404415777644179
48,0.922426475138933,0.23802556715498008
49,0.9238970632180937,0.2344926599604255
50,0.9244485337962853,0.2297986619245992
51,0.9228553966089499,0.2343652976550815
52,0.9243872593038296,0.22776789390705715
53,0.9217524554890891,0.23030842003634225
54,0.9275735336465433,0.22057725897399225
55,0.9271446121308733,0.21952816752868579
56,0.9281862787034947,0.21921456843752085
57,0.9314951019763362,0.21399434245587196
58,0.9295955923678098,0.21454722120472994
59,0.9310049059819064,0.2101236782329606
60,0.9297181413435907,0.21790019488197593
61,0.933517160715864,0.2058993588369172
62,0.933333337243062,0.2125866412750361
63,0.9330269647123036,0.20094868809623623
64,0.9301470628866524,0.20709686320077655
65,0.9329656901970214,0.2080458106079658
66,0.9314951020037281,0.20784602102856664
67,0.9327818666694357,0.20315676059703897
68,0.9346813763738336,0.203166726660181
69,0.9351102979488525,0.19908115606397647
70,0.934252454817076,0.20580303766543362
71,0.9358455919633236,0.19836548636746873
72,0.9368872586089898,0.1962118674761259
73,0.9354779449583707,0.19427949353782062
74,0.9345588273569649,0.19807796947716202
75,0.9362132390002337,0.1983965350855618
76,0.9389705918455387,0.18792187427904303
77,0.9363970625506458,0.20098498487673788
78,0.93799019971972,0.19465720426584684
79,0.935723042919063,0.19859832942352296
80,0.9379289252044377,0.19804672534828158
81,0.9411764740396071,0.18778821310145438
82,0.9390318663060373,0.19346644678488117
83,0.9384803957004538,0.19046763376760015
84,0.9382965722413478,0.19564013482263104
85,0.9386029447675409,0.19138233667077556
86,0.9390318663608209,0.18912008447175455
87,0.9367034350996655,0.19238340931353248
88,0.9408088270209584,0.191461806927383
89,0.9396446113949459,0.19259955061028056
90,0.9395833368887943,0.1911444524506012
91,0.9409313759876087,0.18635953801930774
92,0.9397671603707268,0.18997646527570752
93,0.9407475524326312,0.18900205167307288
94,0.9411151995243249,0.18155975161536056
95,0.9396446113538581,0.18422136158692592
96,0.9400122583953335,0.18461223818579361
97,0.9417279445949722,0.1856544734302696
98,0.9435049052551097,0.18022570238263952
99,0.9412990230701718,0.18519467293230996
